question,answer
Which function finds the highest number in an array?,Mathmax
Which planet has the most moons?,Saturn
What is the main gas in Earth's atmosphere?,Nitrogen
Which scientist developed the laws of motion?,Newton
What is the chemical formula for salt?,NaCl
What is the study of plants called?,Botany
Which metal is liquid at room temperature?,Mercury
What is the smallest unit of life?,Cell
What is the atomic number of oxygen?,8
Which part of the brain controls balance?,Cerebellum
What is the speed of sound in air (m/s)?,343
Which organ pumps blood in the body?,Heart
What is the powerhouse of the cell?,Mitochondria
What is the SI unit of force?,Newton
Which vitamin is produced by sunlight?,D
What is the study of stars called?,Astronomy
Which gas is used in neon signs?,Neon
Which scientist developed the periodic table?,Mendeleev
Which type of energy is stored in food?,Chemical
What is the process of plants making food?,Photosynthesis
What is the boiling point of oxygen in Celsius?,-183
Which language is used for web development?,HTML
What is the full form of HTTP?,HyperTextTransferProtocol
Which database is relational?,MySQL
What does RAM stand for?,RandomAccessMemory
Which key starts the BIOS setup?,F2
Which protocol secures websites?,HTTPS
What does CPU stand for?,CentralProcessingUnit
Which device stores long-term data?,HardDrive
Which keyboard shortcut copies text?,CtrlC
What is the default file extension for Java?,java
Which programming language runs in browsers?,JavaScript
Which Linux command lists files?,ls
Which cloud service is from Microsoft?,Azure
What is the binary representation of 10?,1010
What is the full form of AI?,ArtificialIntelligence
Which protocol is used for file transfer?,FTP
Which tag creates a hyperlink in HTML?,a
Which function returns a string length in Python?,len
What is the full form of API?,ApplicationProgrammingInterface
Which device processes graphics?,GPU
Which keyword is used to define a function in Python?,def
Which data type is mutable in Python?,List
Which method is used to read user input in Python?,input
Which keyword is used for exception handling in Python?,try
Which module is used for handling regular expressions in Python?,re
Which keyword is used to define a class in Java?,class
Which function is the entry point of a Java program?,main
Which operator is used for inheritance in Java?,extends
Which package is imported by default in Java?,javalang
Which keyword is used for method overloading in Java?,static
Which function is used to print output in C++?,cout
Which keyword is used for dynamic memory allocation in C++?,new
Which operator is used for pointer dereferencing in C++?,*
Which loop ensures execution at least once in C++?,do-while
Which keyword is used to declare a constant variable in JavaScript?,const
Which method converts a string to lowercase in JavaScript?,toLowerCase
Which function removes whitespace from both sides of a string?,trim
Which function is used to parse a JSON string?,JSONparse
Which keyword is used to define a property in C#?,get
Which function is used to write output to the console in C#?,ConsoleWriteLine
Which access modifier allows access within the same assembly in C#?,internal
Which keyword is used to define an interface in C#?,interface
Which data type is used for storing large numbers in C#?,double
Which function is used to get the length of a string in PHP?,strlen
Which superglobal array stores form data in PHP?,_POST
Which function is used to start a session in PHP?,session_start
Which keyword is used to define a constant in Swift?,let
Which function is used to print output in Swift?,print
Which keyword is used to define an optional in Swift?,Optional
Which function is the entry point of a Kotlin program?,main
Which keyword is used for defining a protocol in Swift?,protocol
Which function is the entry point of a Kotlin program?,main
Which keyword is used to declare a nullable variable in Kotlin?,?
Which function converts a string to an integer in Kotlin?,toInt
Which keyword is used to define an extension function in Kotlin?,fun
Which keyword is used for coroutines in Kotlin?,suspend
Which method is used to print output in Ruby?,puts
Which symbol is used for defining an instance variable in Ruby?,@
Which keyword is used to define a class in Ruby?,class
Which operator is used for string interpolation in Ruby?,{}
Which function is used to check the length of a string in Ruby?,length
Which keyword is used to declare a function in Go?,func
Which function is used to print output in Go?,fmtPrintln
Which package is used for I/O operations in Go?,fmt
Which keyword is used for defining a struct in Go?,struct
Which function is used to get the length of a slice in Go?,len
Which keyword is used to declare a variable in Rust?,let
Which function is used to print output in Rust?,println!
Which symbol is used to define a reference in Rust?,&
Which keyword is used for defining a module in Rust?,mod
Which keyword is used to create a mutable variable in Rust?,mut
Which function is used to print output in R?,print
Which function is used to get the length of a vector in R?,length
Which symbol is used for assignment in R?,<-
Which function is used to create a sequence in R?,seq
Which function is used to sort a vector in R?,sort
Which function is used to plot a graph in MATLAB?,plot
Which keyword is used to define a function in MATLAB?,function
Which function is used to create a matrix in MATLAB?,zeros
Which function is used to find the maximum value in MATLAB?,max
Which function is used to calculate the mean in MATLAB?,mean
Which keyword is used to define a type in TypeScript?,type
Which keyword is used for declaring an interface in TypeScript?,interface
Which function converts a number to a string in TypeScript?,toString
Which keyword is used to ensure strict type checking in TypeScript?,strict
Which function is used to check if a string includes a substring?,includes
Which function is used to print output in Scala?,println
Which keyword is used to define an object in Scala?,object
Which symbol is used for function parameters in Scala?,>
Which keyword is used for pattern matching in Scala?,match
Which keyword is used for defining traits in Scala?,trait
Which function is used to print output in Dart?,print
Which keyword is used to declare a variable in Dart?,var
Which keyword is used for asynchronous programming in Dart?,async
Which symbol is used to define a function in Dart?,>
Which keyword is used for defining classes in Dart?,class
Which keyword is used to retrieve data in SQL?,SELECT
Which function is used to count rows in SQL?,COUNT
Which keyword is used to remove duplicates in SQL?,DISTINCT
Which keyword is used to filter data in SQL?,WHERE
Which command is used to create a table in SQL?,CREATE
Which command lists files in Bash?,ls
Which command prints output in Bash?,echo
Which command is used to change directories in Bash?,cd
Which command is used to check the current directory in Bash?,pwd
Which function is used to print output in Perl?,print
Which keyword is used for loops in Perl?,foreach
Which keyword is used to define a subroutine in Perl?,sub
Which keyword is used to define a function?,def
Which function prints output in Python?,print
Which operator is used for exponentiation?,**
Which module is used for working with dates?,datetime
Which function returns the length of a list?,len
Which statement is used to handle exceptions?,try
Which built-in function converts a string to an integer?,int
Which method is used to remove an item from a list?,remove
Which loop is used for iterating over a sequence?,for
Which function returns the absolute value of a number?,abs
Which function returns the maximum value from a list?,max
Which function rounds a number to the nearest integer?,round
Which keyword is used to define a class?,class
Which method adds an element to a set?,add
Which module is used for generating random numbers?,random
Which method is used to capitalize the first letter of a string?,capitalize
Which method is used to split a string?,split
Which keyword is used to import a module?,import
Which function returns the smallest value from a list?,min
Which method is used to check if a string starts with a specific letter?,startswith
Which function returns the ASCII value of a character?,ord
Which method removes the last item from a list?,pop
Which keyword is used to exit a function?,return
Which built-in function is used to create an iterable object?,iter
Which function converts an integer to a string?,str
Which loop runs indefinitely unless stopped?,while
Which method joins elements of a list into a string?,join
Which function returns the type of a variable?,type
Which keyword is used to delete a variable?,del
Which function sorts a list in ascending order?,sorted
Which module is used for handling regular expressions?,re
Which statement stops a loop prematurely?,break
Which function returns a sorted copy of a list?,sorted
Which function reads input from the user?,input
Which method returns a copy of a string with all uppercase letters?,upper
Which function returns a list of attributes and methods of an object?,dir
Which function returns the memory address of an object?,id
Which keyword is used to inherit from a parent class?,super
Which keyword is used to check if a value exists in a sequence?,in
Which method replaces parts of a string?,replace
Which method removes leading and trailing spaces from a string?,strip
Which function checks if all elements in an iterable are true?,all
Which function checks if any element in an iterable is true?,any
Which keyword defines an anonymous function?,lambda
Which module provides mathematical functions?,math
Which function returns the hexadecimal representation of a number?,hex
Which function returns the binary representation of a number?,bin
Which function reads a file's entire contents?,read
Which function writes data to a file?,write
Which function checks if a file exists?,exists
Which statement opens a file for reading?,open
Which function returns the number of items in an iterable?,len
Which method appends an item to a list?,append
Which function checks if an object is callable?,callable
Which method is used to sort a list in place?,sort
Which function raises a number to a power?,pow
Which function returns a new list with elements squared?,map
Which function applies a filter to an iterable?,filter
Which module is used to work with JSON data?,json
Which function returns the remainder of a division?,mod
Which function returns the quotient and remainder?,divmod
Which keyword is used to create a generator?,yield
Which function returns a sequence of numbers?,range
Which method counts occurrences of a value in a list?,count
Which keyword is used to create a package?,__init__
Which function returns a copy of a list?,copy
Which function swaps keys and values in a dictionary?,zip
Which function converts a list to a tuple?,tuple
Which function merges two lists into key-value pairs?,zip
Which function converts a dictionary to a list of tuples?,items
Which function returns a list of dictionary keys?,keys
Which function returns a list of dictionary values?,values
Which function adds a key-value pair to a dictionary?,update
Which function returns a default value if a key is missing?,get
Which module is used for multi-threading?,threading
Which module is used for multiprocessing?,multiprocessing
Which module is used for working with CSV files?,csv
Which module is used for working with databases?,sqlite3
Which module is used for handling URLs?,urllib
Which function converts a string to lowercase?,lower
Which module is used for handling time?,time
Which function pauses execution for a given number of seconds?,sleep
Which keyword defines an abstract method?,abstractmethod
Which function generates a random integer?,randint
Which module is used for scientific computing?,numpy
Which module is used for data analysis?,pandas
Which module is used for machine learning?,sklearn
Which module is used for deep learning?,tensorflow
Which function is used to reshape an array in NumPy?,reshape
Which method removes duplicate values from a list?,set
Which method converts a list to a string?,join
Which keyword is used to define an asynchronous function?,async
Which method waits for an asynchronous operation to complete?,await
Which module is used for creating HTTP requests?,requests
Which module is used for working with XML?,xml
Which function checks if a string contains only digits?,isdigit
What is the capital of France?,Paris
Who discovered gravity?,Newton
What is the largest mammal?,BlueWhale
Who painted the Mona Lisa?,DaVinci
What is the national bird of the USA?,Eagle
Which gas is essential for breathing?,Oxygen
What is the chemical symbol for gold?,Au
What is the hardest natural substance?,Diamond
Who wrote 'Romeo and Juliet'?,Shakespeare
What is the capital of Japan?,Tokyo
Which is the longest river in the world?,Nile
Who invented the telephone?,Bell
What is the largest ocean?,Pacific
Which planet is known as the Red Planet?,Mars
What is the chemical formula for water?,H2O
Who was the first President of the USA?,Washington
Which animal is known as the King of the Jungle?,Lion
What is the national currency of China?,Yuan
What is the boiling point of water in Celsius?,100
Which continent is known as the 'Dark Continent'?,Africa
Which keyword declares a variable?,var
Which function converts a string to an integer?,parseInt
What method adds an element to an array?,push
What keyword is used for asynchronous functions?,async
Which function removes the last element of an array?,pop
What is the default behavior of `sort()`?,Lexical
Which loop is used for iterating over object properties?,for-in
What does `JSON.parse()` do?,Parse
What does `typeof null` return?,Object
Which keyword is used to define a constant?,const
Which JavaScript framework is maintained by Facebook?,React
Which object represents the browser window?,window
What is the event handler for a button click?,onclick
Which method converts an array to a string?,join
What does `NaN` stand for?,NotANumber
Which method is used to call a function after a delay?,setTimeout
What function returns a random number?,Mathrandom
Which operator is used for exponentiation?,**
Who developed the theory of relativity?,Einstein
What is the national flower of India?,Lotus
What is the speed of light in m/s?,299792458
Which element has the atomic number 1?,Hydrogen
What is the national sport of Canada?,IceHockey
Who is known as the father of computers?,Babbage
Which city is known as the Big Apple?,NewYork
What is the capital of Australia?,Canberra
Which gas is used in balloons?,Helium
What is the square root of 144?,12
Which is the smallest planet in the solar system?,Mercury
What is the national currency of the UK?,Pound
Who wrote 'The Catcher in the Rye'?,Salinger
Which part of the plant conducts photosynthesis?,Leaf
Who is the founder of Microsoft?,Gates
What is the capital of Germany?,Berlin
Which country is known as the Land of the Rising Sun?,Japan
What is the longest bone in the human body?,Femur
What is the freezing point of water in Celsius?,0
Which instrument is used to measure earthquakes?,Seismometer
What is the output of `2 ** 3` in Python?,8
What is the default port for HTTP?,80
Which data structure follows FIFO?,Queue
What does CSS stand for?,CascadingStyleSheets
Which HTML tag is used for a hyperlink?,a
What is the binary representation of 5?,101
Which protocol is used to send emails?,SMTP
What does SQL stand for?,StructuredQueryLanguage
Which database is NoSQL?,MongoDB
What is the main function of an operating system?,ManageResources
Which cloud platform is developed by Amazon?,AWS
Which language is primarily used for Android development?,Kotlin
What does HTTP stand for?,HyperTextTransferProtocol
Which company created Java?,SunMicrosystems
What does RAM stand for?,RandomAccessMemory
What is the full form of API?,ApplicationProgrammingInterface
Which programming language is used for AI?,Python
What is the default file extension for Python scripts?,py
Which company developed the C programming language?,BellLabs
